core_id,round,link_type,doc_index,url
24,ICORE2026,h_index,,https://portal.core.edu.au/core/media/2025/centiles_graphs/CoNEXT_24_h_index_FOR4606_centileGraph.png
24,ICORE2026,citation,,https://portal.core.edu.au/core/media/2025/centiles_graphs/CoNEXT_24_cited_FOR4606_centileGraph.png
24,CORE2023,h_index,,https://portal.core.edu.au/core/media/2023/centiles_graphs/CoNEXT_24_h_index_FOR4606_centileGraph.png
24,CORE2023,citation,,https://portal.core.edu.au/core/media/2023/centiles_graphs/CoNEXT_24_cited_FOR4606_centileGraph.png
15,ICORE2026,h_index,,https://portal.core.edu.au/core/media/2025/centiles_graphs/SENSYS_15_h_index_FOR4606_centileGraph.png
15,ICORE2026,citation,,https://portal.core.edu.au/core/media/2025/centiles_graphs/SENSYS_15_cited_FOR4606_centileGraph.png
15,ICORE2026,data,1.0,https://portal.core.edu.au/core/media/2025/conference_submission/Data_Higherrank_2514.pdf
15,ICORE2026,decision,,https://portal.core.edu.au/core/media/2025/justification/15_SENSYS.pdf
15,CORE2023,h_index,,https://portal.core.edu.au/core/media/2023/centiles_graphs/SENSYS_15_h_index_FOR4606_centileGraph.png
15,CORE2023,citation,,https://portal.core.edu.au/core/media/2023/centiles_graphs/SENSYS_15_cited_FOR4606_centileGraph.png
15,CORE2023,data,1.0,https://portal.core.edu.au/core/media/2023/conference_submission/Data_Higherrank_2169.pdf
15,CORE2023,decision,,https://portal.core.edu.au/core/media/2023/justification/15_SENSYS.pdf
15,CORE2018,data,1.0,https://portal.core.edu.au/core/media/justification/CORE2018/Data_Comparator_209.pdf
15,CORE2018,decision,,https://portal.core.edu.au/core/media/justification/CORE2018/SENSYS.pdf
11,ICORE2026,h_index,,https://portal.core.edu.au/core/media/2025/centiles_graphs/SIGCOMM_11_h_index_FOR4606_centileGraph.png
11,ICORE2026,citation,,https://portal.core.edu.au/core/media/2025/centiles_graphs/SIGCOMM_11_cited_FOR4606_centileGraph.png
11,CORE2023,h_index,,https://portal.core.edu.au/core/media/2023/centiles_graphs/SIGCOMM_11_h_index_FOR4606_centileGraph.png
11,CORE2023,citation,,https://portal.core.edu.au/core/media/2023/centiles_graphs/SIGCOMM_11_cited_FOR4606_centileGraph.png
11,CORE2021,data,1.0,https://portal.core.edu.au/core/media/justification/CORE2021/SIGCOMM_11_cited_FOR4606_centileGraph.png
11,CORE2021,data,2.0,https://portal.core.edu.au/core/media/justification/CORE2021/SIGCOMM_11_h_index_FOR4606_centileGraph.png
