2189," International Conference on Ambient Systems, Networks and Technologies",ANT,ICORE2026,Unranked,Yes,4606,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,ICORE2026,A*,Yes,4606,,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,ICORE2026,unranked: merged,Yes,4606,,
24,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,ICORE2026,A,No,4606,,
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,ICORE2026,A*,Yes,4606,,
30,ACM International Conference on Supercomputing,ICS,ICORE2026,A,Yes,CSE,4606,
32,ACM International Symposium on Computer Architecture,ISCA,ICORE2026,A*,Yes,CSE,4606,4612
33,ACM International Symposium on High Performance Distributed Computing,HPDC,ICORE2026,A,No,4606,CSE,
34,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,ICORE2026,B,Yes,4606,,
2336,ACM Multimedia Systems Conference,MMSys,ICORE2026,A,Yes,4606,4603,4607
45,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,ICORE2026,A,Yes,4606,,
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,ICORE2026,A*,Yes,4606,,
49,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,ICORE2026,B,Yes,4606,,
78,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,ICORE2026,B,Yes,4606,,
58,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,ICORE2026,B,Yes,4606,,
63,ACM Symposium on Principles of Distributed Computing,PODC,ICORE2026,A*,Yes,4606,,
69,ACM Workshop on Hot Topics in Networks,HOTNETS,ICORE2026,National: USA,No,4606,,
76,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,ICORE2026,A,Yes,4606,,
2246,ACM/IEEE Symposium on Edge Computing,SEC,ICORE2026,unranked,Yes,4606,,
79,ACM/IFIP/USENIX International Middleware Conference,Middleware,ICORE2026,A,Yes,4606,,
2278,ACM/SPEC International Conference on Performance Engineering,ICPE,ICORE2026,B,Yes,4612,4606,
